,text,date
169,Protests target Spanish colonial statues that 'celebrate genocide' in US west,2020-06-24T09:30:20Z
170,Talking Horses: the lessons for racing in Royal Ascot's TV success,2020-06-24T09:07:09Z
171,Coronavirus UK map: the latest deaths and confirmed Covid-19 cases,2020-06-24T09:06:16Z
172,Coronavirus world map: which countries have the most Covid-19 cases and deaths?,2020-06-24T09:02:22Z
173,Coalition MPs revolt against ban on people importing liquid nicotine for vaping,2020-06-24T09:00:13Z
174,Netflix's Floor Is Lava: the show to save the summer?,2020-06-24T09:00:12Z
175,Trump is in a precarious position for re-election – but he still has a chance,2020-06-24T09:00:12Z
176,China's hidden partner in suppressing the Muslim Uighurs – the US | Sean R Roberts,2020-06-24T09:00:12Z
177,Sadiq Khan proposes moving City Hall to east London to cut costs,2020-06-24T09:00:11Z
178,High levels of arsenic found in US Whole Foods’ bottled water brand,2020-06-24T09:00:11Z
179,Richard Nartey: 'You learn how fortunate you are growing up at Chelsea',2020-06-24T08:49:47Z
180,Coronavirus: what kind of face mask gives the best protection against Covid-19?,2020-06-24T08:47:11Z
181,David Luiz extends his Arsenal contract until the end of 2020-21 season,2020-06-24T08:23:52Z
182,Commercial landlords expect shortfall on rent day for UK retailers,2020-06-24T08:09:42Z
183,Australia records its first Covid-19 death in a month – as it happened,2020-06-24T08:07:04Z
184,Get this message over to airlines …  stop passing the buck over refunds,2020-06-24T08:00:10Z
185,"Labor's climate wars truce is cause for hope, as long as it doesn't lead to bipartisan inaction | Frank Jotzo",2020-06-24T07:59:39Z
186,Australian business groups warn of coming cliff when free childcare and jobkeeper end,2020-06-24T07:15:35Z
187,Former Young LNP member says party threw him ‘under the bus’ over offensive video,2020-06-24T07:04:28Z
188,An unlikely helper contributed to this Millais portrait. Who? The great British art quiz,2020-06-24T07:00:10Z
189,From 5-1 down to winning 7-6 in 20 minutes: is there a better comeback? | The Knowledge,2020-06-24T07:00:09Z
190,Britain's persistent racism cannot simply be explained by its imperial history | David Edgerton,2020-06-24T07:00:09Z
191,'A billboard with 50 years of layers': readers on Bob Dylan's Rough and Rowdy Ways,2020-06-24T07:00:09Z
192,My favourite film aged 12: Bridget Jones's Diary,2020-06-24T06:46:13Z
193,"Coronavirus: easing several lockdown rules at once could boost virus, say UK scientists",2020-06-24T06:28:45Z
194,Coronavirus Victoria: Woolworths reintroduces purchase limits as military called in to help,2020-06-24T06:20:02Z
195,"UK Border Force detained pregnant woman for 24 hours, inspectors find",2020-06-24T06:01:08Z
196,Zara and Primark factory workers say they were fired after forming union,2020-06-24T06:00:09Z
197,Sarah Sanders lied again and again for Trump. Now she’s got her teeth into John Bolton | Arwa Mahdawi,2020-06-24T06:00:09Z
198,Back to class: how to study from home as a mature student,2020-06-24T06:00:09Z
199,The Last of Us Part 2 is a horror game and that's why it hurts,2020-06-24T06:00:08Z
0,UK betting firms' move to redirect problem gambling funds raises concerns,2020-06-24T06:00:08Z
1,UK's net zero pledge: what has been achieved one year on?,2020-06-24T06:00:08Z
2,Thousands of potential trafficking victims ‘not given vital support’,2020-06-24T06:00:08Z
3,Former officer claims racism forced her out of Met police,2020-06-24T06:00:08Z
4,Uganda reopens border to thousands of people fleeing violence in DRC,2020-06-24T05:30:07Z
5,‘Go Ape gone Viking’ – Denmark’s newest treetop attraction,2020-06-24T05:30:07Z
6,TV tonight: the story of Wu-Tang Clan in their own words,2020-06-24T05:20:07Z
7,Wednesday briefing: Holiday hopes as PM eases lockdown,2020-06-24T05:19:02Z
8,Lockdown wardrobe clear-outs threaten to flood charity shops,2020-06-24T05:01:07Z
9,‘You can’t pay cash here’: how our newly cashless society harms the most vulnerable,2020-06-24T05:00:08Z
10,How did wildlife groups start collaborating in the destruction of nature? | George Monbiot,2020-06-24T05:00:07Z
11,"NHS deal with private hospitals must be renewed, say surgeons",2020-06-24T05:00:07Z
12,"Businesses face privacy minefield over contact-tracing rules, say campaigners",2020-06-24T05:00:07Z
